Matrice des probabilités (heure x paquets):
7 17 10 300
Heure	0	1	2	3	4	5	6	7	8	9
7	0.5161290322580645018035739	0.4838709677419354981964261	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
8	0.1612903225806451568136168	0.1290322580645161254508935	0.0322580645161290313627234	0.0322580645161290313627234	0.6451612903225806272544673	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
9	0.0645161290322580627254467	0.0322580645161290313627234	0.1290322580645161254508935	0.0322580645161290313627234	0.1290322580645161254508935	0.0000000000000000000000000	0.3548387096774193727455327	0.2580645161290322509017869	0.0000000000000000000000000	0.0000000000000000000000000
10	0.0967741935483870940881701	0.0000000000000000000000000	0.0322580645161290313627234	0.0645161290322580627254467	0.0645161290322580627254467	0.0645161290322580627254467	0.0645161290322580627254467	0.0645161290322580627254467	0.5483870967741935054107216	0.0000000000000000000000000
11	0.0322580645161290313627234	0.0322580645161290313627234	0.0322580645161290313627234	0.0322580645161290313627234	0.0645161290322580627254467	0.0967741935483870940881701	0.0645161290322580627254467	0.0322580645161290313627234	0.0967741935483870940881701	0.5161290322580645018035739
12	0.0000000000000000000000000	0.0322580645161290313627234	0.0322580645161290313627234	0.0645161290322580627254467	0.0645161290322580627254467	0.0645161290322580627254467	0.0967741935483870940881701	0.0322580645161290313627234	0.0322580645161290313627234	0.5806451612903226200401718
13	0.0322580645161290313627234	0.0000000000000000000000000	0.0967741935483870940881701	0.0000000000000000000000000	0.0645161290322580627254467	0.0967741935483870940881701	0.0967741935483870940881701	0.0000000000000000000000000	0.1935483870967741881763402	0.4193548387096774354709794
14	0.0322580645161290313627234	0.0967741935483870940881701	0.0322580645161290313627234	0.0322580645161290313627234	0.0645161290322580627254467	0.0322580645161290313627234	0.0322580645161290313627234	0.2580645161290322509017869	0.4193548387096774354709794	0.0000000000000000000000000
15	0.0322580645161290313627234	0.1290322580645161254508935	0.1290322580645161254508935	0.0645161290322580627254467	0.0967741935483870940881701	0.0967741935483870940881701	0.4516129032258064390781271	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
16	0.2258064516129032195390636	0.0645161290322580627254467	0.1935483870967741881763402	0.4193548387096774354709794	0.0967741935483870940881701	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
17	0.9032258064516128781562543	0.0967741935483870940881701	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
