Matrice des probabilités (heure x paquets):
9 18 10 300
Heure	0	1	2	3	4	5	6	7	8	9
9	0.8709677419354838745491065	0.1290322580645161254508935	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
10	0.6129032258064516236473196	0.1612903225806451568136168	0.1612903225806451568136168	0.0645161290322580627254467	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
11	0.4838709677419354981964261	0.1935483870967741881763402	0.0000000000000000000000000	0.0967741935483870940881701	0.1612903225806451568136168	0.0645161290322580627254467	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
12	0.3225806451612903136272337	0.2258064516129032195390636	0.0322580645161290313627234	0.0322580645161290313627234	0.0645161290322580627254467	0.1290322580645161254508935	0.0967741935483870940881701	0.0645161290322580627254467	0.0322580645161290313627234	0.0000000000000000000000000
13	0.1612903225806451568136168	0.1612903225806451568136168	0.0967741935483870940881701	0.1290322580645161254508935	0.1290322580645161254508935	0.0322580645161290313627234	0.1935483870967741881763402	0.0322580645161290313627234	0.0322580645161290313627234	0.0322580645161290313627234
14	0.1290322580645161254508935	0.2258064516129032195390636	0.0967741935483870940881701	0.0967741935483870940881701	0.0967741935483870940881701	0.1612903225806451568136168	0.0645161290322580627254467	0.0645161290322580627254467	0.0322580645161290313627234	0.0322580645161290313627234
15	0.1612903225806451568136168	0.1612903225806451568136168	0.1290322580645161254508935	0.0967741935483870940881701	0.1290322580645161254508935	0.1612903225806451568136168	0.0967741935483870940881701	0.0322580645161290313627234	0.0322580645161290313627234	0.0000000000000000000000000
16	0.1612903225806451568136168	0.3225806451612903136272337	0.2580645161290322509017869	0.1290322580645161254508935	0.0645161290322580627254467	0.0645161290322580627254467	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
17	0.2903225806451613100200859	0.2580645161290322509017869	0.0967741935483870940881701	0.1612903225806451568136168	0.1612903225806451568136168	0.0322580645161290313627234	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
18	0.4516129032258064390781271	0.3225806451612903136272337	0.2258064516129032195390636	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000000000000000000000
